"time","tank2.level"
15.6,0.0001083937141722519
15.66,0.0001095550139537395
15.72,0.0001107163137352271
15.78,0.0001118776135167147
15.84,0.0001130389132982023
15.9,0.0001142002130796899
15.96,0.0001153615128611776
16.02,0.0001165228126426651
16.08,0.0001176841124241527
16.14,0.0001188454122056404
16.2,0.000120006711987128
16.26,0.0001211680117686156
16.32,0.0001223293115501032
16.38,0.0001234906113315908
16.44,0.0001246519111130785
16.5,0.000125813210894566
16.56,0.0001269745106760536
16.62,0.0001281358104575413
16.68,0.0001292971102390289
16.74,0.0001304584100205165
16.8,0.0001316197098020041
16.86,0.0001327810095834917
16.92,0.0001339423093649794
16.98,0.000135103609146467
17.04,0.0001362649089279545
17.1,0.0001374262087094422
17.16,0.0001385875084909298
17.22,0.0001397488082724174
17.28,0.000140910108053905
17.34,0.0001420714078353926
17.4,0.0001432327076168802
17.46,0.0001443940073983679
17.52,0.0001455553071798555
17.58,0.000146716606961343
17.64,0.0001478779067428307
17.7,0.0001490392065243183
17.76,0.0001502005063058059
17.82,0.0001513618060872935
17.88,0.0001525231058687811
17.94,0.0001536844056502688
18,0.0001548457054317563
18.06,0.0001560070052132439
18.12,0.0001571683049947316
18.18,0.0001583296047762192
18.24,0.0001594909045577068
18.3,0.0001606522043391944
18.36,0.000161813504120682
18.42,0.0001629748039021697
18.48,0.0001641361036836573
18.54,0.0001652974034651448
18.6,0.0001664587032466325
18.66,0.0001676200030281201
18.72,0.0001687813028096077
18.78,0.0001699426025910953
18.84,0.0001711039023725829
18.9,0.0001722652021540705
18.96,0.0001734265019355581
19.02,0.0001745878017170457
19.08,0.0001757491014985333
19.14,0.000176910401280021
19.2,0.0001780717010615086
19.26,0.0001792330008429962
19.32,0.0001803943006244838
19.38,0.0001815556004059714
19.44,0.0001827169001874591
19.5,0.0001838781999689466
19.56,0.0001850394997504342
19.62,0.0001862007334790167
19.68,0.0001873619255599392
19.74,0.0001885231176408619
19.8,0.0001896843097217845
19.86,0.0001908455018027071
19.92,0.0001920066938836298
19.98,0.0001931678859645524
20.04,0.000194329078045475
20.1,0.0001954902701263976
20.16,0.0001966514622073202
20.22,0.0001978126542882428
20.28,0.0001989738463691655
20.34,0.0002001350384500881
20.4,0.0002012962305310107
20.46,0.0002024574226119333
20.52,0.0002036186146928559
20.58,0.0002047798067737785
20.64,0.0002059409988547012
20.7,0.0002071021909356238
20.76,0.0002082633830165464
20.82,0.0002094245750974691
20.88,0.0002105857671783917
20.94,0.0002117469592593143
21,0.0002129081513402369
21.06,0.0002140693434211595
21.12,0.0002152305355020822
21.18,0.0002163917275830048
21.24,0.0002175529196639274
21.3,0.00021871411174485
21.36,0.0002198753038257726
21.42,0.0002210364959066953
21.48,0.0002221976879876179
21.54,0.0002233588800685405
21.6,0.0002245200721494632
21.66,0.0002256812642303857
21.72,0.0002268424563113083
21.78,0.000228003648392231
21.84,0.0002291648404731536
21.9,0.0002303260325540762
21.96,0.0002314872246349989
22.02,0.0002326484167159215
22.08,0.000233809608796844
22.14,0.0002349708008777667
22.2,0.0002361319929586893
22.26,0.000237293185039612
22.32,0.0002384543771205346
22.38,0.0002396155692014572
22.44,0.0002407767612823798
22.5,0.0002419379533633024
22.56,0.000243099145444225
22.62,0.0002442603375251477
22.68,0.0002454215296060703
22.74,0.0002465827216869929
22.8,0.0002477439137679155
22.86,0.0002489051058488382
22.92,0.0002500662979297608
22.98,0.0002512274900106834
23.04,0.000252388682091606
23.1,0.0002535498741725287
23.16,0.0002547110662534513
23.22,0.0002558722583343738
23.28,0.0002570334504152965
23.34,0.0002581946424962191
23.4,0.0002593558345771417
23.46,0.0002605170266580644
23.52,0.000261678218738987
23.58,0.0002628394108199096
23.64,0.0002640006029008323
23.7,0.0002651617949817548
23.76,0.0002663229870626775
23.82,0.0002674841791436001
23.88,0.0002686453712245227
23.94,0.0002698065633054454
24,0.0002709677553863679
24.06,0.0002721289474672906
24.12,0.0002732901395482132
24.18,0.0002744513316291358
24.24,0.0002756125237100584
24.3,0.0002767737157909811
24.36,0.0002779349078719037
24.42,0.0002790960999528263
24.48,0.0002802572920337489
24.54,0.0002814184841146715
24.6,0.0002825796761955942
24.66,0.0002837408682765168
24.72,0.0002849020603574394
24.78,0.000286063252438362
24.84,0.0002872244445192846
24.9,0.0002883856366002072
24.96,0.0002895468286811299
25.02,0.0002907080207620525
25.08,0.0002918692128429751
25.14,0.0002930304049238977
25.2,0.0002941915970048203
25.26,0.000295352789085743
25.32,0.0002965139811666656
25.38,0.0002976751732475882
25.44,0.0002988363653285108
25.5,0.0002999975574094335
25.56,0.0003011587494903561
25.62,0.0003023199415712787
25.68,0.0003034811336522013
25.74,0.0003046423257331239
25.8,0.0003058035178140466
25.86,0.0003069647098949692
25.92,0.0003081259019758918
25.98,0.0003092870940568144
26.04,0.000310448286137737
26.1,0.0003116094782186597
26.16,0.0003127706702995823
26.22,0.0003139318623805049
26.28,0.0003150930544614276
26.34,0.0003162542465423501
26.4,0.0003174154386232727
26.46,0.0003185766307041954
26.52,0.000319737822785118
26.58,0.0003208990148660406
26.64,0.0003220602069469632
26.7,0.0003232213990278859
26.76,0.0003243825911088085
26.82,0.0003255437831897311
26.88,0.0003267049752706537
26.94,0.0003278661673515764
27,0.000329027359432499
27.06,0.0003301885515134216
27.12,0.0003313497435943442
27.18,0.0003325109356752668
27.24,0.0003336721277561894
27.3,0.0003348333198371121
27.36,0.0003359945119180347
27.42,0.0003371557039989573
27.48,0.00033831689607988
27.54,0.0003394780881608025
